S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
5,Integrated Water Resources Management,Safe Drinking Water,Pan India,Nec/ Not Mentioned,0,2.59,Other Implementing agencies,FY 2023-24,Jsw Energy (Barmer) Limited
6,Sports Promotion & Institution Building,Training To Promote Sports,Pan India,Nec/ Not Mentioned,0,0.43,Other Implementing agencies,FY 2023-24,Jsw Energy (Barmer) Limited
7,Innovations,Livelihood Enhancement Projects,Rajasthan,Barmer,0,0.49,Other Implementing agencies,FY 2023-24,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2023-24,Jsw Energy (Barmer) Limited
1,Educational Infrastructure & Systems Strengthening,Education,Pan India,Nec/ Not Mentioned,0,2.35,Other Implementing agencies,FY 2022-23,Jsw Energy (Barmer) Limited
2,Nurturing Aquatic & Terrestrial Ecosystems For Better Environment & Reduced Emissions,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,0.94,Other Implementing agencies,FY 2022-23,Jsw Energy (Barmer) Limited
3,"Public Health Infrastructure, Capacity Building & Support Programs",Health Care,Pan India,Nec/ Not Mentioned,0,2.37,Other Implementing agencies,FY 2022-23,Jsw Energy (Barmer) Limited
4,General Community Infrastructure Support & Welfare Initiatives,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,1.47,Other Implementing agencies,FY 2022-23,Jsw Energy (Barmer) Limited
5,Integrated Water Resources Management,Safe Drinking Water,Pan India,Nec/ Not Mentioned,0,1.39,Other Implementing agencies,FY 2022-23,Jsw Energy (Barmer) Limited
6,Waste Management & Sanitation Initiatives,Sanitation,Pan India,Nec/ Not Mentioned,0,0.3,Other Implementing agencies,FY 2022-23,Jsw Energy (Barmer) Limited
7,Sports Promotion & Institution Building,Training To Promote Sports,Pan India,Nec/ Not Mentioned,0,0.21,Other Implementing agencies,FY 2022-23,Jsw Energy (Barmer) Limited
8,Enhance Skills & Rural Livelihoods Through Nurturing Of Supportive Ecosystems & Innovations,Livelihood Enhancement Projects,Rajasthan,Barmer,0,0.88,Other Implementing agencies,FY 2022-23,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2022-23,Jsw Energy (Barmer) Limited
1,Sports Promotion & Institution Building,Training To Promote Sports,Himachal Pradesh,Kinnaur,0,0.33,Other implementing agencies,FY 2021-22,Jsw Energy (Barmer) Limited
2,Integrated Water Resources Management,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,0.77,Other implementing agencies,FY 2021-22,Jsw Energy (Barmer) Limited
3,Nurturing Aquatic & Terrestial Ecosystems For Better Environment & Reduced Emissions,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,0.35,Other implementing agencies,FY 2021-22,Jsw Energy (Barmer) Limited
4,"Public Health Infrastructure, Capacity Building & Support Programs",Health Care,Pan India,Nec/ Not Mentioned,0,1.74,Other implementing agencies,FY 2021-22,Jsw Energy (Barmer) Limited
5,General Community Infrastructure Support & Welfare Initiatives,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,1.29,Other implementing agencies,FY 2021-22,Jsw Energy (Barmer) Limited
6,Educational Infrastructure & Systems Strengthening,Special Education,Pan India,Nec/ Not Mentioned,0,0.9,Other implementing agencies,FY 2021-22,Jsw Energy (Barmer) Limited
7,Covid 19 Support & Rehabilitation Program,Environmental Sustainability,Rajasthan,Barmer,0,0.48,Other implementing agencies,FY 2021-22,Jsw Energy (Barmer) Limited
8,Ehance Skills & Rural Livelihoods Through Nurturing Of Supportive Ecosytems & Innovations,Livelihood Enhancement Projects,Rajasthan,Barmer,0,0.99,Other implementing agencies,FY 2021-22,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2021-22,Jsw Energy (Barmer) Limited
1,"Promotion & Preservation Of Art, Culture & Heritage",Art And Culture,Rajasthan,Barmer,0.12,0.12,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
2,"Promotion & Preservation Of Art, Culture & Heritage",Art And Culture,Rajasthan,Barmer,0.12,0.12,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
3,Integrated Water Resources Management,Conservation Of Natural Resources,Rajasthan,Barmer,1.47,1.47,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
4,Educational Infrastructure & Systems Strengthening,Education,Rajasthan,Barmer,0.13,0.13,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
5,Educational Infrastructure & Systems Strengthening,Education,Rajasthan,Barmer,0.13,0.13,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
6,Integrated Water Resources Management,Environmental Sustainability,Rajasthan,Barmer,1.47,1.47,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
7,Nurturing Aquatic & Terrestrial Ecosystems For Better Environment & Reduced Emissions,Environmental Sustainability,Rajasthan,Barmer,0.16,0.16,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
8,Nurturing Aquatic & Terrestrial Ecosystems For Better Environment & Reduced Emissions,Environmental Sustainability,Rajasthan,Barmer,0.16,0.16,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
9,Covid 19 Support & Rehabilitation Program,Health Care,Rajasthan,Barmer,2.13,2.13,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
10,Covid 19 Support & Rehabilitation Program,Health Care,Rajasthan,Barmer,2.13,2.13,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
11,"Public Health Infrastructure, Capacity Building & Support Programs",Health Care,Rajasthan,Barmer,0.57,0.57,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
12,"Public Health Infrastructure, Capacity Building & Support Programs",Health Care,Rajasthan,Barmer,0.57,0.57,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
13,Enhance Skills & Rural Livelihoods Through Nurturing Of Supportive Ecosytems & Innovations,Livelihood Enhancement Projects,Rajasthan,Barmer,0.61,0.61,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
14,Enhance Skills & Rural Livelihoods Through Nurturing Of Supportive Ecosytems & Innovations,Livelihood Enhancement Projects,Rajasthan,Barmer,0.61,0.61,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
15,General Community Infrastructure Support & Welfare Initiatives,Rural Development Projects,Rajasthan,Barmer,1.12,1.12,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
16,General Community Infrastructure Support & Welfare Initiatives,Rural Development Projects,Rajasthan,Barmer,1.12,1.12,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
17,Nurture Women Entrepreneurship & Employability,Women Empowerment,Rajasthan,Barmer,0.41,0.41,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
18,Nurture Women Entrepreneurship & Employability,Women Empowerment,Rajasthan,Barmer,0.41,0.41,Other implementing agencies,FY 2020-21,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,13.44,0,,FY 2020-21,Jsw Energy (Barmer) Limited
1,Create Opportunities For Access To Higher Education Scholarship For Needy Brilliant Meritorious S,Education,Rajasthan,Barmer,0.13,0.13,Directly by company,FY 2019-20,Jsw Energy (Barmer) Limited
2,Village Greening Project Tree Plantation \X0A\X0Apromottion Of Fodder Cultivation ABCD\X80\X98Naand,Environmental Sustainability,Rajasthan,Barmer,1.18,1.18,Directly by company,FY 2019-20,Jsw Energy (Barmer) Limited
3,Providing Ambulance For Referral Services And Transportation Of Patients To District Hospital And Ot,Health Care,Rajasthan,Barmer,0.81,0.81,Directly by company,FY 2019-20,Jsw Energy (Barmer) Limited
4,Garment Centre Unit\X0A\X0Awaste Paper Recycling And Making Market Based Paper Products\X0A\X0Arunni,Livelihood Enhancement Projects,Rajasthan,Barmer,2.67,2.67,Directly by company,FY 2019-20,Jsw Energy (Barmer) Limited
5,Construction Of Community Library\X0Ainstallation Of Solar Street Lights,Rural Development Projects,Rajasthan,Barmer,0.48,0.48,Directly by company,FY 2019-20,Jsw Energy (Barmer) Limited
6,Toilet Ihl Construction For Community Hhs,Sanitation,Rajasthan,Barmer,0.15,0.15,Directly by company,FY 2019-20,Jsw Energy (Barmer) Limited
7,Admin And Capacity Building Expenses,Vocational Skills,Rajasthan,Barmer,0.3,0.3,Directly by company,FY 2019-20,Jsw Energy (Barmer) Limited
8,Rennovaion Of Kuladhara Village Jaisalmer District\X0A\X0Aobservation Of Local Festivals And Other,Art And Culture,Rajasthan,Jaisalmer,0.34,0.34,Directly by company,FY 2019-20,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,6.06,0,,FY 2019-20,Jsw Energy (Barmer) Limited
1,Administration & Capacity,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,34.4,0.34,Directly by company,FY 2018-19,Jsw Energy (Barmer) Limited
2,Restoration Of Kuldhara,Art And Culture,Rajasthan,Barmer,105,1.05,Directly by company,FY 2018-19,Jsw Energy (Barmer) Limited
3,Construction & Repairing Of Infrastructure In Government Schools,Education,Rajasthan,Barmer,221.71,2.29,Other implementing agencies,FY 2018-19,Jsw Energy (Barmer) Limited
4,Support In Mukhyamantri Jal Swavlamban Abhiyan,Environmental Sustainability,Rajasthan,Barmer,76,0.76,Other implementing agencies,FY 2018-19,Jsw Energy (Barmer) Limited
5,Mission Against Malnutrition Project,"Poverty, Eradicating Hunger, Malnutrition",Rajasthan,Barmer,124.3,1.21,Other implementing agencies,FY 2018-19,Jsw Energy (Barmer) Limited
6,Community Structures As Required In Nearby Villages,Rural Development Projects,Rajasthan,Barmer,50,0.5,Other implementing agencies,FY 2018-19,Jsw Energy (Barmer) Limited
7,Toilets For Community,Sanitation,Rajasthan,Barmer,34.5,0.33,Other implementing agencies,FY 2018-19,Jsw Energy (Barmer) Limited
8,Income Generation Project For Rural Women Shgs,Socio-Economic Equalities,Rajasthan,Barmer,30,0.29,Other implementing agencies,FY 2018-19,Jsw Energy (Barmer) Limited
9,Support & Promotion Of Sports,Training To Promote Sports,Rajasthan,Barmer,12,0.11,Other implementing agencies,FY 2018-19,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,687.91,0,,FY 2018-19,Jsw Energy (Barmer) Limited
1,Administration & Capacity Building Expenses,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.46,0.46,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
2,"Sanitation-Construction, Maintenance & Upgradation Of Toilet",Swachh Bharat Kosh,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.55,0.55,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
3,Promotion And Protection Of Traditional Art And Crafts,Art And Culture,Rajasthan,Barmer,0.27,0.27,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
4,"Conservation, Restoration Of Heritage Structures",Conservation Of Natural Resources,Rajasthan,Barmer,4,4,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
5,Formal Educational Institution Infrastructure & Development,Education,Rajasthan,Barmer,0.38,0.38,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
6,Rewards/Scholorships/Honororium/Training/Exposure Visits,Education,Rajasthan,Barmer,0.34,0.34,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
7,Vocational Educational Institution Infrastructure & Development,Education,Rajasthan,Barmer,0.71,0.71,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
8,Watershed Management,Environmental Sustainability,Rajasthan,Barmer,0.55,0.55,Other implementing agencies,FY 2017-18,Jsw Energy (Barmer) Limited
9,Promoting Health Care,Health Care,Rajasthan,Barmer,0.24,0.24,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
10,Malnutrition Eradication,"Poverty, Eradicating Hunger, Malnutrition",Rajasthan,Barmer,0.23,0.23,Other implementing agencies,FY 2017-18,Jsw Energy (Barmer) Limited
11,Infrastructure Facilities In Rural Areas,Rural Development Projects,Rajasthan,Barmer,1.02,1.02,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
12,Safe Drinking Water,Safe Drinking Water,Rajasthan,Barmer,0.44,0.44,Directly by company,FY 2017-18,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,9.19,0,,FY 2017-18,Jsw Energy (Barmer) Limited
1,Construction Of Low Cost Toilets For Individual Household & Community & Repairing & Maintenance Of T,Swachh Bharat Kosh,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0.57,0.57,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
2,"Learning Of Children Through Theatre, Play & Drama The Project Is Running In Govt Schools & Communit",Art And Culture,Rajasthan,Barmer,3.06,3.06,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
3,"Running Computer & Sewing Center For Rural Youth In Villages Of Diz Through One Ngo Gravis, Jodhpur",Education,Rajasthan,Barmer,0.26,0.26,Other implementing agencies,FY 2016-17,Jsw Energy (Barmer) Limited
4,"Restored Dand, Chuli & Dedli Naadi The Structures Are Used Rain Water Harvesting,Restored One Naadi",Environmental Sustainability,Rajasthan,Barmer,1.06,1.06,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
5,"Medical Camp In Villages Of Diz Referral Services For Delivery, Emergency Cases One Project With Gra",Health Care,Rajasthan,Barmer,1.41,1.41,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
6,Improvement In Nutritional Status Of Children By Providing Spirulina Tablets,Livelihood Enhancement Projects,Rajasthan,Barmer,0.33,0.33,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
7,Providing Drinking Water In Four Villages Of Diz Man Power For Maintenance & Operation Of Water Supp,"Poverty, Eradicating Hunger, Malnutrition",Rajasthan,Barmer,0.05,0.05,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
8,"Installed Solar Street Lights In Bhadresh Gandhav, Bhadresh Punsia, Ishwarpura, Kamoipura & Chuli Vi",Rural Development Projects,Rajasthan,Barmer,0.66,0.66,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
9,Promotional Activity For Gender Equality And Empowerment By Establishing Enterprise Center And Train,Socio-Economic Equalities,Rajasthan,Barmer,0.15,0.15,Other implementing agencies,FY 2016-17,Jsw Energy (Barmer) Limited
10,Providing Support In Various Tournament & Competitions,Training To Promote Sports,Rajasthan,Barmer,0.01,0.01,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
11,Construction & Infrastructure Development Of Vocational Training Center To Start Vocation Trainings,Vocational Skills,Rajasthan,Barmer,0.59,0.59,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
12,Providing Financial Assistance To Widows Of Diz,Women Empowerment,Rajasthan,Barmer,0.04,0.04,Directly by company,FY 2016-17,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,8.19,0,,FY 2016-17,Jsw Energy (Barmer) Limited
1,Art And Culture,Art And Culture,Rajasthan,Barmer,0.12,0.14,Nec/ Not mentioned,FY 2015-16,Jsw Energy (Barmer) Limited
2,Education,Education,Rajasthan,Barmer,0.48,0.41,Nec/ Not mentioned,FY 2015-16,Jsw Energy (Barmer) Limited
3,Environmental Sustainability,Environmental Sustainability,Rajasthan,Barmer,0.19,0.25,Nec/ Not mentioned,FY 2015-16,Jsw Energy (Barmer) Limited
4,"Health,Swach Bharat Mission",Nec/ Not Mentioned,Rajasthan,Barmer,2.06,1.22,Nec/ Not mentioned,FY 2015-16,Jsw Energy (Barmer) Limited
5,Rural Development Projects,Rural Development Projects,Rajasthan,Barmer,1.56,2.41,Nec/ Not mentioned,FY 2015-16,Jsw Energy (Barmer) Limited
6,Setting Up Homes And Hostels For Women,Setting Up Homes And Hostels For Women,Rajasthan,Barmer,0.05,0.26,Nec/ Not mentioned,FY 2015-16,Jsw Energy (Barmer) Limited
7,Gender,Socio-Economic Equalities,Rajasthan,Barmer,0.56,0.38,Nec/ Not mentioned,FY 2015-16,Jsw Energy (Barmer) Limited
8,Sports,Training To Promote Sports,Rajasthan,Barmer,0.1,0.12,Nec/ Not mentioned,FY 2015-16,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,5.12,0,,FY 2015-16,Jsw Energy (Barmer) Limited
1,Art & Culture,Art And Culture,Rajasthan,Barmer,0.03,0.18,Directly by company,FY 2014-15,Jsw Energy (Barmer) Limited
2,Environmental Sustainability,Environmental Sustainability,Rajasthan,Barmer,0.33,0.28,Directly by company,FY 2014-15,Jsw Energy (Barmer) Limited
3,Gender Equality,Gender Equality,Rajasthan,Barmer,0.5,0.36,Directly by company,FY 2014-15,Jsw Energy (Barmer) Limited
4,"Poverty, Hunger , Malnutrition",Health Care,Rajasthan,Barmer,0.21,0.83,Directly by company,FY 2014-15,Jsw Energy (Barmer) Limited
5,Rural Development Projects,Rural Development Projects,Rajasthan,Barmer,0.11,0.18,Directly by company,FY 2014-15,Jsw Energy (Barmer) Limited
6,Socio-Economic Inequalities,Socio-Economic Equalities,Rajasthan,Barmer,0.17,0.13,Directly by company,FY 2014-15,Jsw Energy (Barmer) Limited
7,Training To Promote Sports,Training To Promote Sports,Rajasthan,Barmer,0,0.13,Directly by company,FY 2014-15,Jsw Energy (Barmer) Limited
,Grand Total (INR Cr.),,,,1.35,0,,FY 2014-15,Jsw Energy (Barmer) Limited
1,"Promotion & Preservation Of Art, Culture & Heritage",Art And Culture,Pan India,Nec/ Not Mentioned,0,12.95,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
2,Integrated Water Resources Management,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,5.38,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
3,Nurturing Aquatic & Terrestrial Ecosystems For Better Environment & Reduced Emissions,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,3.52,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
4,Educational Infrastructure & Systems Strengthening,Education,Pan India,Nec/ Not Mentioned,0,47.12,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
5,General Community Infrastructure Support & Welfare Initiatives,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,75.69,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
6,"Public Health Infrastructure, Capacity Building & Support Programs",Health Care,Pan India,Nec/ Not Mentioned,0,26.73,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
7,Enhance Skills & Rural Livelihoods Through Nurturing Of Supportive Ecosystems & Innovations,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,0,12.62,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
8,Waste Management & Sanitation Initiatives,Sanitation,Pan India,Nec/ Not Mentioned,0,6.42,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
9,Sports Promotion & Institution Building,Training To Promote Sports,Pan India,Nec/ Not Mentioned,0,31.66,Other Implementing agencies,FY 2023-24,Jsw Steel Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2023-24,Jsw Steel Limited
1,"Promotion & Preservation Of Art, Culture & Heritage",Art And Culture,Pan India,Nec/ Not Mentioned,0,6.39,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
2,Integrated Water Resources Management,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,10.39,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
3,Nurturing Aquatic & Terrestrial Ecosystems For Better Environment & Reduced Emissions,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,1.89,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
4,Educational Infrastructure & Systems Strengthening,Education,Pan India,Nec/ Not Mentioned,0,105.24,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
5,General Community Infrastructure Support & Welfare Initiatives,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,58.64,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
6,"Public Health Infrastructure, Capacity Building & Support Programs",Health Care,Pan India,Nec/ Not Mentioned,0,23.95,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
7,Enhance Skills & Rural Livelihoods Through Nurturing Of Supportive Ecosystems & Innovations,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,0,8.96,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
8,Waste Management & Sanitation Initiatives,Sanitation,Pan India,Nec/ Not Mentioned,0,5.15,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
9,Sports Promotion & Institution Building,Training To Promote Sports,Pan India,Nec/ Not Mentioned,0,8.71,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
10,Nurture Women Entrepreneurship & Employability,Women Empowerment,Pan India,Nec/ Not Mentioned,0,1.77,Other Implementing agencies,FY 2022-23,Jsw Steel Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2022-23,Jsw Steel Limited
1,Covid 19 Support & Rehabilitation Program,Health Care,Maharashtra,Raigad,0,21.78,Other implementing agencies,FY 2021-22,Jsw Steel Limited
2,"Promotion & Preservation Of Art, Culture & Heritage",Art And Culture,Pan India,Nec/ Not Mentioned,0,3.59,Other implementing agencies,FY 2021-22,Jsw Steel Limited
3,Integrated Water Resources Management,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,9.62,Other implementing agencies,FY 2021-22,Jsw Steel Limited
4,Nurturing Aquatic & Terrestrial Ecosystems For Better Environment & Reduced Emissions,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,1.81,Other implementing agencies,FY 2021-22,Jsw Steel Limited
5,Educational,Education,Pan India,Nec/ Not Mentioned,0,70.73,Other implementing agencies,FY 2021-22,Jsw Steel Limited
6,General Community Infrastructure Support & Welfare Initiatives,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,23.83,Other implementing agencies,FY 2021-22,Jsw Steel Limited
7,"Public Health Infrastructure, Capacity Building & Support Programs",Health Care,Pan India,Nec/ Not Mentioned,0,41.01,Other implementing agencies,FY 2021-22,Jsw Steel Limited
8,Enhance Skills & Rural Livelihoods Through Nurturing Of Supportive Ecosystems & Innovations,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,0,8.2,Other implementing agencies,FY 2021-22,Jsw Steel Limited
9,Waste Management & Sanitation Initiatives,Sanitation,Pan India,Nec/ Not Mentioned,0,3.54,Other implementing agencies,FY 2021-22,Jsw Steel Limited
10,Sports Promotion & Institution Building,Training To Promote Sports,Pan India,Nec/ Not Mentioned,0,6.68,Other implementing agencies,FY 2021-22,Jsw Steel Limited
11,Nurture Women Entrepreneurship & Employability,Women Empowerment,Pan India,Nec/ Not Mentioned,0,0.71,Other implementing agencies,FY 2021-22,Jsw Steel Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2021-22,Jsw Steel Limited
1,"Promotion & Preservation Of Art, Culture & Heritage",Art And Culture,Karnataka,Nec/ Not Mentioned,0.23,0.23,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
2,Integrated Water Resources Management,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,10.68,4,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
3,Educational Infrastructure & Systems Strengthening,Education,Pan India,Nec/ Not Mentioned,14.81,7.61,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
4,Program Management Expense,Education,Pan India,Nec/ Not Mentioned,3.99,3.92,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
5,Nurturing Aquatic & Terrestrial Ecosystems For Better Environment & Reduced Emissions,Environmental Sustainability,Pan India,Nec/ Not Mentioned,11.07,3.46,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
6,Covid-19 Support & Rehabilitation Program,Health Care,Pan India,Nec/ Not Mentioned,57.81,17.9,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
7,"Public Health Infrastructure, Capacity Building & Support Programs",Health Care,Pan India,Nec/ Not Mentioned,19.86,14.7,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
8,Enhance Skills & Rural Livelihoods Through Nurturing Of Supportive Ecosystems & Innovations,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,5.61,3.81,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
9,General Community Infrastructure Support & Welfare Initiatives,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Nec/ Not Mentioned,26.91,13.41,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
10,Waste Management & Sanitation Initiatives,Sanitation,Pan India,Nec/ Not Mentioned,5.26,2.71,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
11,Sports Promotion & Institution Building,Training To Promote Sports,Pan India,Nec/ Not Mentioned,7.04,5.49,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
12,Nurture Women Entrepreneurship & Employability,Women Empowerment,Pan India,Nec/ Not Mentioned,1.54,1.08,By Trusts/Societies/ Section 8 company set up by company itself,FY 2020-21,Jsw Steel Limited
,Grand Total (INR Cr.),,,,164.81,0,,FY 2020-21,Jsw Steel Limited
1,Conservation Of Hampi Area And Restoration Of Various Historical Monuments,Art And Culture,Pan India,Nec/ Not Mentioned,5.65,1.67,Directly by company,FY 2019-20,Jsw Steel Limited
2,Conservation Of Natural Resources Tree Plantation Clean Fuel Stoves Etc,Environmental Sustainability,Pan India,Nec/ Not Mentioned,3.51,0.35,Directly by company,FY 2019-20,Jsw Steel Limited
3,Community Health Monitoring Projects Institutional Delivery Adolescent Health Awareness Malnouris,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,46.74,33.88,Directly by company,FY 2019-20,Jsw Steel Limited
4,Contribution To Pm Cares Fund For Covid 19,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,0,68,Directly by company,FY 2019-20,Jsw Steel Limited
5,Construction Of Community Halls Village Roads Drainages Bus Shelters Etc,Rural Development Projects,Pan India,Nec/ Not Mentioned,8,3.32,Directly by company,FY 2019-20,Jsw Steel Limited
6,Skill School Infrastructure Development And Enhancement Of Quality Education School For Differentl,Socio-Economic Equalities,Pan India,Nec/ Not Mentioned,38.13,7.41,Directly by company,FY 2019-20,Jsw Steel Limited
7,Waste Paper Recycling Children S Observation Home Support To Old Age Home Rural Bpos Empowering,Socio-Economic Equalities,Pan India,Nec/ Not Mentioned,17.04,8.78,Directly by company,FY 2019-20,Jsw Steel Limited
8,Sports Infrastructure Development Promotion Of Rural Sports Sports Excellence Programs Domestic,Training To Promote Sports,Pan India,Nec/ Not Mentioned,8.53,7.1,Directly by company,FY 2019-20,Jsw Steel Limited
9,Nec Not Mentioned,Vocational Skills,Pan India,Nec/ Not Mentioned,6.95,6.95,Directly by company,FY 2019-20,Jsw Steel Limited
10,Garbage Management Institutional Management Community Toilets School Sanitation Program Garbag,Swachh Bharat Kosh,Pan India (Other Centralized Funds),Nec/ Not Mentioned,4.35,2.27,Directly by company,FY 2019-20,Jsw Steel Limited
,Grand Total (INR Cr.),,,,138.9,0,,FY 2019-20,Jsw Steel Limited
1,"Conservation Of Hampi, Restoration Of Various Historical Monuments",Art And Culture,Maharashtra,Nec/ Not Mentioned,1,1,Directly by company,FY 2018-19,Jsw Steel Limited
2,"Watershed Management, Conservation Of Natural Resources, Ree Plantation, School Sanitation Program,",Environmental Sustainability,Maharashtra,Nec/ Not Mentioned,5,5,Directly by company,FY 2018-19,Jsw Steel Limited
3,"Malnourishment Project, Mid-Daymeals, Leprosy Project, General Health & Cataract Camps, Drinking Wat",Livelihood Enhancement Projects,Maharashtra,Nec/ Not Mentioned,28,28,Directly by company,FY 2018-19,Jsw Steel Limited
